Id,Year,Variety,Owner,IdOwnerVarietyYear,Species,Country,Region,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints,Color,AltitudeLowMeters,AltitudeHighMeters,AltitudeMeanMeters
0,2014,,Metad Plc,"0, Metad Plc, 2014",Arabica,Ethiopia,guji-hambela,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,Green,1950,2200,2075
1,2014,Other,Metad Plc,"1, Metad Plc, 2014, Other",Arabica,Ethiopia,guji-hambela,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,Green,1950,2200,2075
2,,Bourbon,Grounds For Health Admin,"2, Grounds For Health Admin, Bourbon",Arabica,Guatemala,,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,,1600,1800,1700
3,2014,,Yidnekachew Dabessa,"3, Yidnekachew Dabessa, 2014",Arabica,Ethiopia,oromia,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,Green,1800,2200,2000
4,2014,Other,Metad Plc,"4, Metad Plc, 2014, Other",Arabica,Ethiopia,guji-hambela,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,Green,1950,2200,2075
5,2013,,Ji-Ae Ahn,"5, Ji-Ae Ahn, 2013",Arabica,Brazil,,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,Bluish-Green,,,
6,2012,Other,Hugo Valdivia,"6, Hugo Valdivia, 2012, Other",Arabica,Peru,,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,Bluish-Green,,,
7,,,Ethiopia Commodity Exchange,"7, Ethiopia Commodity Exchange",Arabica,Ethiopia,oromia,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,,1570,1700,1635
8,,,Ethiopia Commodity Exchange,"8, Ethiopia Commodity Exchange",Arabica,Ethiopia,oromiya,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,,1570,1700,1635
9,2014,Other,Diamond Enterprise Plc,"9, Diamond Enterprise Plc, 2014, Other",Arabica,Ethiopia,"snnp/kaffa zone,gimbowereda",8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,Green,1795,1850,1822.5
